"country","overallRank","overallScore","donateScore","helpStrangerScore","volTimeScore"
"Myanmar","2","58","81","49","43"
"United States","1","58","61","72","42"
"New Zealand","3","57","65","64","41"
"Ireland","5","56","69","62","38"
"Australia","4","56","68","64","37"
"Canada","6","55","63","64","37"
"United Kingdom","7","54","71","60","30"
"Netherlands","8","53","71","53","36"
"Sri Lanka","9","51","50","55","46"
"Indonesia","10","50","69","42","40"
"Malta","12","47","71","45","24"
"Kenya","11","47","38","68","37"
"Switzerland","13","45","56","48","32"
"Austria","15","45","53","53","27"
"United Arab Emirates","14","45","52","63","19"
"Liberia","17","44","12","77","43"
"Denmark","16","44","58","52","22"
"Turkmenistan","19","43","32","53","43"
"Germany","18","43","49","56","26"
"Sierra Leone","20","42","21","74","33"
"Thailand","21","42","71","41","15"
"Nigeria","22","42","27","66","32"
"Cyprus","24","41","44","53","25"
"Finland","25","41","42","52","28"
"Uzbekistan","25","41","35","54","33"
"Iran","23","41","48","56","20"
"Luxembourg","28","40","51","39","29"
"Sweden","29","40","55","51","13"
"Haiti","27","40","45","44","30"
"Guatemala","26","40","32","55","34"
"Israel","34","39","51","43","22"
"Dominican Republic","31","39","25","59","32"
"Zambia","32","39","22","67","28"
"Malaysia","30","39","45","44","28"
"Philippines","33","39","24","54","38"
"Slovenia","40","38","36","44","32"
"Mongolia","37","38","40","41","33"
"Costa Rica","39","38","31","59","22"
"Malawi","36","38","21","64","29"
"Ghana","38","38","25","58","30"
"Uganda","35","38","22","66","26"
"Chile","41","37","44","53","15"
"Tajikistan","44","36","19","49","39"
"Honduras","43","36","28","49","31"
"Belgium","42","36","39","44","25"
"South Africa","45","36","18","63","25"
"Panama","47","35","32","47","25"
"Singapore","46","35","48","39","19"
"Taiwan","48","35","38","48","18"
"Colombia","49","35","22","61","20"
"Guinea","51","34","21","57","23"
"Saudi Arabia","50","34","28","62","13"
"Iraq","52","34","23","65","13"
"Kyrgyzstan","55","33","28","47","25"
"Cameroon","56","33","19","63","16"
"Nepal","53","33","30","43","26"
"Italy","54","33","38","45","16"
"Paraguay","60","32","34","40","22"
"Spain","58","32","30","51","16"
"South Korea","57","32","34","43","20"
"Tanzania","59","32","31","50","15"
"Bolivia","61","31","22","51","21"
"Afghanistan","63","31","25","51","17"
"Botswana","64","30","13","61","18"
"Uruguay","65","30","26","49","15"
"Nicaragua","68","30","28","42","20"
"Lebanon","67","30","33","47","10"
"France","66","30","27","36","27"
"Zimbabwe","70","29","10","55","21"
"Pakistan","69","29","32","42","13"
"Senegal","71","28","13","58","14"
"Peru","72","28","18","46","19"
"Argentina","75","28","18","49","16"
"Mexico","73","28","20","45","18"
"Brazil","74","28","22","46","15"
"Gabon","77","27","12","57","11"
"Republic of the Congo","76","27","11","55","15"
"Moldova","80","26","20","41","16"
"Kazakhstan","78","26","21","39","20"
"Morocco","83","26","18","52","7"
"Vietnam","84","26","23","42","12"
"Ethiopia","79","26","19","43","17"
"Bangladesh","81","26","16","51","11"
"India","82","26","24","34","19"
"Estonia","95","25","20","37","17"
"Macedonia","96","25","29","37","8"
"Bosnia and Herzegovina","91","25","34","35","6"
"Mauritania","85","25","19","41","15"
"Slovakia","94","25","28","32","14"
"El Salvador","93","25","13","43","18"
"Belarus","92","25","18","32","25"
"Portugal","88","25","20","42","14"
"Jordan","90","25","18","49","7"
"Chad","89","25","16","43","16"
"Burkina Faso","87","25","13","49","15"
"Poland","86","25","28","37","11"
"Azerbaijan","99","24","14","38","20"
"Tunisia","103","24","10","52","9"
"Cambodia","102","24","40","24","8"
"Ecuador","98","24","18","40","15"
"Romania","97","24","20","45","7"
"Mali","99","24","12","48","12"
"Niger","100","24","9","52","11"
"Ukraine","101","24","18","35","19"
"Albania","105","23","21","39","9"
"Hungary","109","23","20","38","9"
"Benin","106","23","13","42","15"
"Venezuela","108","23","13","42","13"
"Egypt","104","23","16","49","6"
"Japan","107","23","23","24","22"
"Latvia","110","22","25","32","10"
"Czech Republic","111","22","22","29","15"
"Armenia","114","21","10","46","8"
"Georgia","112","21","6","41","18"
"Croatia","118","21","22","30","9"
"Rwanda","115","21","17","33","14"
"Madagascar","116","21","11","29","24"
"DR Congo","113","21","11","37","15"
"Russia","117","21","12","35","16"
"Montenegro","119","20","20","33","8"
"Lithuania","121","19","12","37","11"
"Palestine","122","19","10","38","8"
"Bulgaria","120","19","16","36","5"
"Serbia","123","19","22","28","6"
"Yemen","124","17","6","41","5"
"Greece","125","16","7","36","6"
"China","126","16","11","31","5"